STATION,NAME,LAT,LON,ELEV,REGION
1001099999,"JAN MAYEN NOR NAVY, NO",70.9333333,-8.6666667,9.0,Arctic
1001499999,"SORSTOKKEN, NO",59.791925,5.34085,48.76,Sub-Arctic
1002099999,"VERLEGENHUKEN, NO",80.05,16.25,8.0,High Arctic
1003099999,"HORNSUND, NO",77.0,15.5,12.0,High Arctic
1006099999,"EDGEOYA, NO",78.25,22.8166666,14.0,High Arctic
1007099999,"NY ALESUND, SV",78.9166666,11.9333333,7.7,High Arctic
1008099999,"LONGYEAR, SV",78.246111,15.465556,26.82,High Arctic
1009099999,"KARL XII OYA, SV",80.65,25.0,5.0,High Arctic
1010099999,"ANDOYA, NO",69.2925,16.144167,13.1,Arctic
1011099999,"KVITOYA, SV",80.0666666,31.5,10.0,High Arctic
1015099999,"HEKKINGEN FYR, NO",69.6,17.8333333,14.0,Arctic
1016099999,"KONGSOYA, NO",78.9333333,28.9,20.0,High Arctic
1017099999,"AKSELOYA, SV",77.6833333,14.7833333,6.0,High Arctic
1020099999,"SORKAPPOYA, SV",76.4833333,16.55,10.0,High Arctic
1023099999,"BARDUFOSS, NO",69.055758,18.540356,76.8,Arctic
1023199999,"DRAUGEN, NO",64.35,7.8,0.0,Sub-Arctic
1025099999,"TROMSO, NO",69.683333,18.918919,9.44,Arctic
1026099999,"TROMSO, NO",69.65,18.9333333,114.5,Arctic
1027099999,"TROMSO HOLT, NO",69.65,18.9,20.0,Arctic
1028099999,"BJORNOYA ISLAND, NO",74.5166667,19.0166667,18.0,Arctic
1030099999,"KISTEFJELL, NO",69.2833333,18.1333333,982.0,Arctic
1033099999,"TORSVAG FYR, NO",70.25,19.5,24.0,Arctic
1035099999,"LYNGEN GJERDVASSBU, NO",69.5666666,20.1,710.0,Arctic
1037099999,"SKIBOTN 2, NO",69.3833333,20.2833333,20.0,Arctic
1042099999,"HASVIK SLUSKFJELLET, NO",70.6,22.45,438.0,Arctic
1043099999,"ROGNSUNDET, NO",70.4166666,22.8166666,10.0,Arctic
1044099999,"HASVIK, NO",70.486675,22.139744,6.4,Arctic
1045099999,"NORDSTRAUM I KVAENANGEN, NO",69.8333333,21.8833333,6.0,Arctic
1046099999,"SORKJOSEN, NO",69.786839,20.959444,4.87,Arctic
1047099999,"KAUTOKEINO II, NO",69.0166667,23.0666667,307.0,Arctic
1049099999,"ALTA, NO",69.976111,23.371667,2.74,Arctic
1052099999,"HAMMERFEST AIRPORT, NO",70.6833333,23.6833333,81.0,Arctic
1055099999,"FRUHOLMEN FYR, NO",71.1,23.9833333,14.22,Arctic
1058099999,"SUOLOVUOPMI LULIT, NO",69.5666666,23.5333333,381.0,Arctic
1059099999,"BANAK, NO",70.068814,24.973489,7.62,Arctic
1062099999,"HOPEN ISLAND, NO",76.5,25.0666667,10.0,High Arctic
1065099999,"KARASJOK, NO",69.4666666,25.5166666,133.0,Arctic
1068099999,"HONNINGSVAG VALAN, NO",71.0166667,25.9833333,14.0,Arctic
1074099999,"MEHAMN, NO",71.0333333,27.8333333,13.0,Arctic
1076099999,"TANABRU, NO",70.2166666,28.1666666,32.0,Arctic
1078099999,"SLETTNES FYR, NO",71.1,28.2333333,10.0,Arctic
1082099999,"NYRUD, NO",69.15,29.25,56.0,Arctic
1083099999,"BERLEVAG, NO",70.8666667,29.0333333,13.0,Arctic
1084099999,"PASVIK, NO",69.45,30.0333333,27.0,Arctic
1086099999,"BATSFJORD, NO",70.600256,29.692678,149.35,Arctic
1087699999,"NORNE OIL PLATFORM, NO",66.0166666,8.0833333,90.0,Sub-Arctic
1087799999,"TROLL A OIL PLATFORM, NO",60.6333333,3.7166666,90.0,Sub-Arctic
1087899999,"SNORRE A OIL PLATFORM, NO",61.45,2.1333333,90.0,Sub-Arctic
1087999999,"SNORRE B OIL PLATFORM, NO",61.5333333,2.2,90.0,Sub-Arctic
1088099999,"VADSO, NO",70.0666667,29.85,39.0,Arctic
