STATION,YEAR,AVG_TEMP,NAME,LAT,LON,ELEV,REGION,LABEL,YOY_DELTA
1003099999,2025,21.1,"HORNSUND, NO",77.0,15.5,12.0,High Arctic,"HORNSUND, NO (1003099999)",-7.02
1006099999,2023,20.87,"EDGEOYA, NO",78.25,22.8166666,14.0,High Arctic,"EDGEOYA, NO (1006099999)",19.45
1015099999,2024,43.55,"HEKKINGEN FYR, NO",69.6,17.8333333,14.0,Arctic,"HEKKINGEN FYR, NO (1015099999)",10.52
1016099999,2023,19.17,"KONGSOYA, NO",78.9333333,28.9,20.0,High Arctic,"KONGSOYA, NO (1016099999)",18.29
1020099999,2023,26.81,"SORKAPPOYA, SV",76.4833333,16.55,10.0,High Arctic,"SORKAPPOYA, SV (1020099999)",16.91
1030099999,2024,29.94,"KISTEFJELL, NO",69.2833333,18.1333333,982.0,Arctic,"KISTEFJELL, NO (1030099999)",11.24
1033099999,2023,33.98,"TORSVAG FYR, NO",70.25,19.5,24.0,Arctic,"TORSVAG FYR, NO (1033099999)",-15.88
1035099999,2024,34.52,"LYNGEN GJERDVASSBU, NO",69.5666666,20.1,710.0,Arctic,"LYNGEN GJERDVASSBU, NO (1035099999)",12.53
1037099999,2023,22.36,"SKIBOTN 2, NO",69.3833333,20.2833333,20.0,Arctic,"SKIBOTN 2, NO (1037099999)",-17.31
1037099999,2024,40.43,"SKIBOTN 2, NO",69.3833333,20.2833333,20.0,Arctic,"SKIBOTN 2, NO (1037099999)",18.07
1042099999,2023,24.24,"HASVIK SLUSKFJELLET, NO",70.6,22.45,438.0,Arctic,"HASVIK SLUSKFJELLET, NO (1042099999)",-16.84
1042099999,2024,38.67,"HASVIK SLUSKFJELLET, NO",70.6,22.45,438.0,Arctic,"HASVIK SLUSKFJELLET, NO (1042099999)",14.43
1043099999,2023,28.91,"ROGNSUNDET, NO",70.4166666,22.8166666,10.0,Arctic,"ROGNSUNDET, NO (1043099999)",-9.99
1043099999,2024,40.74,"ROGNSUNDET, NO",70.4166666,22.8166666,10.0,Arctic,"ROGNSUNDET, NO (1043099999)",11.83
1047099999,2023,10.23,"KAUTOKEINO II, NO",69.0166667,23.0666667,307.0,Arctic,"KAUTOKEINO II, NO (1047099999)",-37.02
1047099999,2024,33.92,"KAUTOKEINO II, NO",69.0166667,23.0666667,307.0,Arctic,"KAUTOKEINO II, NO (1047099999)",23.69
1058099999,2024,32.49,"SUOLOVUOPMI LULIT, NO",69.5666666,23.5333333,381.0,Arctic,"SUOLOVUOPMI LULIT, NO (1058099999)",19.65
1065099999,2023,12.8,"KARASJOK, NO",69.4666666,25.5166666,133.0,Arctic,"KARASJOK, NO (1065099999)",-21.96
1065099999,2024,32.37,"KARASJOK, NO",69.4666666,25.5166666,133.0,Arctic,"KARASJOK, NO (1065099999)",19.57
1076099999,2023,32.81,"TANABRU, NO",70.2166666,28.1666666,32.0,Arctic,"TANABRU, NO (1076099999)",21.89
1078099999,2023,29.71,"SLETTNES FYR, NO",71.1,28.2333333,10.0,Arctic,"SLETTNES FYR, NO (1078099999)",-12.75
1078099999,2024,39.17,"SLETTNES FYR, NO",71.1,28.2333333,10.0,Arctic,"SLETTNES FYR, NO (1078099999)",9.46
1082099999,2023,15.85,"NYRUD, NO",69.15,29.25,56.0,Arctic,"NYRUD, NO (1082099999)",-8.16
1082099999,2024,35.47,"NYRUD, NO",69.15,29.25,56.0,Arctic,"NYRUD, NO (1082099999)",19.62
